time,id,depth,mag,nst,error
2020-07-21T11:48:32.640Z,ci38600562,4.56,1.15,15,0.56
2020-07-21T11:48:03.130Z,nn00761865,1.4,0.3,9,
2020-07-21T11:46:51.780Z,uw61660996,4.73,0.64,8,0.41
2020-07-21T11:43:56.350Z,ci38600546,4.95,1.29,12,1.14
2020-07-21T11:42:54.520Z,nc73428961,6.79,2.62,15,0.28
2020-07-21T11:36:08.323Z,nn00761860,9.7,1.1,16,
2020-07-21T11:32:18.580Z,ci38600538,15.15,1.42,20,0.87
2020-07-21T11:20:00.602Z,us7000as8u,76.87,4.3,,3.8
2020-07-21T11:19:28.045Z,ak0209bwrco4,118.2,1.4,,
2020-07-21T11:18:40.140Z,nc73428956,1.86,1.16,22,0.2
2020-07-21T11:15:03.270Z,ci38600530,1.57,1.3,14,0.75
2020-07-21T11:09:58.619Z,nn00761856,11,1.2,23,
2020-07-21T11:09:48.733Z,nn00761906,15.3,0.5,7,
2020-07-21T11:07:51.654Z,ak0209bwotxq,0,1.3,,
2020-07-21T11:03:29.909Z,us7000as8q,582.22,4.4,,13.2
2020-07-21T10:59:31.180Z,ci38600522,5.75,0.71,15,0.48
2020-07-21T10:53:26.300Z,nc73428951,5.41,0.53,16,0.37
2020-07-21T10:52:34.070Z,nn00761855,9.8,1,10,
2020-07-21T10:52:18.540Z,nc73428946,1.28,0.56,11,0.28
2020-07-21T10:51:28.300Z,nc73428941,2.28,0.56,14,0.3
2020-07-21T10:50:31.100Z,nn00761852,0,0.8,15,
